Nome,Preco,Preco_promocional,Link,Data,Marca,Faixa_preco
"Notebook Asus Vivobook 15 X1504za-Nj1217 Intel Core I5 1235u 4gb Ram 256gb Ssd Linux Keepos Tela 15,60 Azul",2999,2999,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504za-nj1217-intel-core-i5-1235u-4gb-ram-256gb-ssd-linux-keepos-tela-1560-azul/p/MLB38770900#polycard_client=search-nordic&searchVariation=MLB38770900&wid=MLB3800742333&position=25&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,asus,Ate 3000
"Notebook Aspire 5 A515-57-58w1 I5 Linux 8gb 256gb 15,6' Fhd",2999,2999,https://www.mercadolivre.com.br/notebook-aspire-5-a515-57-58w1-i5-linux-8gb-256gb-156-fhd/p/MLB26998725#polycard_client=search-nordic&searchVariation=MLB26998725&wid=MLB3590500513&position=38&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,Outros,Ate 3000
Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,3515,3515,https://produto.mercadolivre.com.br/MLB-3814239669-notebook-dell-inspiron-i15-i120k-a25p-i5-8gb-512gb-156-w11-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB3814239669&sid=search,2025-04-25 04:25:46,dell,3000-5000
Notebook Lenovo Ideapad 15iau7 Ci5 8gb 512ssd W11 82vy000qbr,4284,4284,https://produto.mercadolivre.com.br/MLB-3838710951-notebook-lenovo-ideapad-15iau7-ci5-8gb-512ssd-w11-82vy000qbr-_JM?searchVariation=184669216635#polycard_client=search-nordic&searchVariation=184669216635&position=42&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc,2025-04-25 04:25:46,lenovo,3000-5000
Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,6999,6999,https://produto.mercadolivre.com.br/MLB-4022599343-lenovo-loq-e-i5-rtx3050-16gbcontrole-xbox-pcgift-card-r50-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB4022599343&sid=search,2025-04-25 04:25:46,lenovo,5000-7000
"Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v",3397,3397,https://www.mercadolivre.com.br/notebook-samsung-book4-i5-1335u-8gb-256gb-ssd-156-full-hd-windows-11-pro-np754xgj-kg5br-110v220v/p/MLB47248528#polycard_client=search-nordic&searchVariation=MLB47248528&wid=MLB5364270434&position=22&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,samsung,3000-5000
Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,5299,5299,https://produto.mercadolivre.com.br/MLB-3698339281-notebook-gamer-nitro-v15-anv15-51-57ws-i5-lx-8gb-512gb-ssd-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB3698339281&sid=search,2025-04-25 04:25:46,Outros,5000-7000
Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,6656,6656,https://produto.mercadolivre.com.br/MLB-4022397389-lenovo-loq-e-i5-rtx3050-16gbcontrole-xbox-pcgift-card-r50-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB4022397389&sid=search,2025-04-25 04:25:46,lenovo,5000-7000
Notebook Lenovo T450 I5 5a 8gb Ram Ssd 256gb,1499,1499,https://produto.mercadolivre.com.br/MLB-5349353948-notebook-lenovo-t450-i5-5a-8gb-ram-ssd-256gb-_JM?searchVariation=187510588289#polycard_client=search-nordic&searchVariation=187510588289&position=46&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc,2025-04-25 04:25:46,lenovo,Ate 3000
Notebook Dell Latitude 3490 I5 8gb 256gb Ssd 14  Fhd,1750,1750,https://produto.mercadolivre.com.br/MLB-4010078597-notebook-dell-latitude-3490-i5-8gb-256gb-ssd-14-fhd-_JM?searchVariation=187286395145#polycard_client=search-nordic&searchVariation=187286395145&position=47&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc,2025-04-25 04:25:46,dell,Ate 3000
Notebook Acer Aspire 54e6 Ci5 13ªg 8gb 512ssd W11 Home 15.6,3599,3599,https://produto.mercadolivre.com.br/MLB-3876902441-notebook-acer-aspire-54e6-ci5-13g-8gb-512ssd-w11-home-156-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB3876902441&sid=search,2025-04-25 04:25:46,acer,3000-5000
Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),1734,1734,https://www.mercadolivre.com.br/notebook-lenovo-t480-core-i5-8th-16gb-ssd-240gb-tela-hd-cor-black-excelente-recondicionado/p/MLB2010898968#polycard_client=search-nordic&searchVariation=MLB2010898968&wid=MLB5339048752&position=37&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,lenovo,Ate 3000
"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",5875,5875,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-intel-core-i5-13420h-8gb-ram-512gb-ssd-nvidia-rtx4050-windows-11-home-tela-156-full-hd-anv15-51-54dl/p/MLB37728210#polycard_client=search-nordic&searchVariation=MLB37728210&wid=MLB5322539480&position=32&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,acer,5000-7000
Notebook Lenovo Thinkpad E14 Core I5-10210u 16gb Ssd 256gb,2249,2249,https://produto.mercadolivre.com.br/MLB-5207489498-notebook-lenovo-thinkpad-e14-core-i5-10210u-16gb-ssd-256gb-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB5207489498&sid=search,2025-04-25 04:25:46,lenovo,Ate 3000
"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",2977,2977,https://www.mercadolivre.com.br/notebook-thinkpad-e14-14-black-16gb-de-ram-256gb-ssd-intel-core-i5-excelente-recondicionado/p/MLB2010722341#polycard_client=search-nordic&searchVariation=MLB2010722341&wid=MLB5338153618&position=29&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,Outros,Ate 3000
Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,6656,6656,https://produto.mercadolivre.com.br/MLB-4022423411-lenovo-loq-e-i5-rtx-3050-16gbcontrole-xboxgift-card-r50-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&wid=MLB4022423411&sid=search,2025-04-25 04:25:46,lenovo,5000-7000
Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,8177,8177,https://www.mercadolivre.com.br/notebook-hp-elitebook-840-g9-intel-vpro-i5-w11p-256gb/p/MLB40978716#polycard_client=search-nordic&searchVariation=MLB40978716&wid=MLB3879664373&position=19&search_layout=grid&type=product&tracking_id=3209b416-981d-4894-93be-3ad9f0de9fcc&sid=search,2025-04-25 04:25:46,hp,Acima de 7000
